EMG1,EMG2,EMG3,EMG4,EMG5,EMG6,EMG7,EMG8
11,11,-4,-15,-15,-9,-9,-16
10,-33,-28,-16,-1,-4,-5,10
-1,67,57,27,1,-7,6,3
-15,-13,-30,-14,-6,-1,-4,-3
-5,34,56,8,0,0,1,-2
18,11,-71,-16,-6,-8,-9,-4
-32,-52,-26,-8,-9,-5,-5,-10
43,78,127,26,1,5,9,18
-13,-39,27,18,18,5,9,3
38,80,16,-4,-3,-8,-10,-1
-27,-102,-128,-48,-25,-6,-5,-9
-35,-6,22,-5,6,-3,-6,-10
32,-30,-31,-48,-11,-8,2,6
-42,-111,-35,68,36,16,4,0
56,47,-25,-13,3,3,4,14
23,91,-25,19,-8,-1,4,9
-17,19,0,-20,-1,-2,-3,-13
-53,-10,-41,-42,-20,-10,-8,-6
15,42,31,66,21,-3,2,3
-32,14,31,-52,-23,-5,-7,-10
66,90,5,0,5,1,5,10
-4,-76,15,54,49,19,5,2
-13,15,33,9,-13,-8,0,3
